1037466389163814932,758
486849838533836800,3002
727234518276112514,3
394153008054796299,5
714499699943407711,29
125365764101242880,3000
996585455757820026,2
672972385862942747,1070
994740388051038258,602
534111616212533258,69
889815141456158732,8
264195430798065664,1
541628968059666447,2
968199017446141973,1
817123866358054983,1
707964630919806988,3
694628345455050752,10
536203212848365586,15
1111740126880600216,3
817823226377535498,358
754061662352310420,1
686180360035500052,100
1101557369730768937,3014
440991055387820052,176
888582249564504175,3006
667042211002581034,1
630262798672330752,211
765768439750066196,5
826467607615635476,1
215974670766309376,8
31021801984916987904,3
1021801984916987904,3
537438107113357312,115
696120741162123335,50
1147864263583596594,3000
462982105476104192,321
352731340791087105,5
526706037085175819,330
484450406529892352,6
806120157247963138,200
280414676360232960,1
386199282916786178,22
814133912774901821,1550
324094854571229204,1
538828879394111488,1
515496327287668747,6
1149464921403301998,220
1171065987261542430,1
740930587099005038,17
